gerogeroR,IiyamaAkari,mjauemi,nippon_ukuraina,OKB1917,nvkePqkpk5P3Y50,Gurenko_Andrii,MichitoTsuruoka,Sz73B,ozawa_jimusho,jda1BekUDve1ccx,kamipapa_ro,FIFI_Egypt,KunisueNorito,yoniumuhibi,KanAugust,matsudaHI,KadotaRyusho,tezheya,rockfish31,iiduna_yutaka,Narodovlastiye,toshio_tamogami,naoyafujiwara,ichiroaisawa,kazzshi69,airi_deshi_555,rusbureau,mooncave3,soraplaza
1223914104387014656,1541618577044025344,2799511175,1252200193342140418,1033183069866360832,1540924105452822531,1528500566397435905,9594382,3151483309,1353867269588152320,2855446076,2918169054,1509793947257692161,1172347543272873984,1208608604393103360,1530852739944747008,1075366883577221121,1541627702603423745,922241204401479680,1467061993425502211,1101885012578775040,1539763985129816064,1440680606203985926,857129855116357632,1540532482042253312,1537837152448352257,1525415045240602625,1222809284959801344,1541593181946404865,1497141984951418880
634397129,1252200193342140418,1517403350764904448,4724654054,141516178,1493085996438929409,1164051087306813450,295657108,1109647252673294336,1230807606811185152,1269829534687219713,37928540,1120708359307415553,101436695,1220392216260038657,1541550866960097280,1431921315955367937,270228155,838656884747849728,1048936055804551168,1095017430940712960,267530482,1469979416243875844,1404064022949892103,1513773931186241536,30472427,1151746752220762112,254849277,1541565711600209920,925164388364951552
1540828764577247233,1177155019310714881,991250724259414016,1528500566397435905,155875666,1537014775603150848,2559106351,1507783958334951424,2960780660,127213751,856056351990005760,1027762252949073921,773282714845794304,1407317967055077383,268336515,1507138045622964225,1479550234368053248,1531975044548939776,1302887254835093505,1541472005215596544,1527152186270003200,2228432072,1464370998862807043,188257149,1453630904,1480946508,1188010069553631232,14492715,1106470420566310912,1540307317438046209
2843498850,1541573883752775680,135735993,1485442443831287808,276626715,1381967208029376513,4711371553,96513638,963175740,256318108,1051728886717804549,59985166,1327440670852714496,1518789203467075584,1306859155378941952,1541539560336662528,277146233,1517449964829683712,814117770140864512,1446324588850270209,1184078146779267072,2587658538,1349132617937928195,1504344980336578560,1541338360605986816,46535246,1259353352426582017,1027762252949073921,1472167551451172865,1506363053180596225
1366029985396322304,1536495302814801921,1499265412827017218,4711371553,125556801,1281421228234772481,1390277961681498114,190860378,48669444,1259414644805926913,1327180964036968448,141387490,1464370998862807043,1277215686,1287939503252860929,1538990049198346240,1349256164857401353,217049005,795623237631635457,2767269492,2373050280,881061646805811204,1329721793167310851,1541593181946404865,1532169231793799168,1138763326454845441,265782658,488005669,1234000202593210368,1482316673822572548
1502829276571537411,878458346243710976,1458346714696675328,1390277961681498114,1507783958334951424,1299219194706157569,1199267844761849856,892523138,1526106858997444608,1327453375609274368,1540571280273211392,1223164381984223232,137721352,1535489222877929473,1128954272266088448,1534183822698221569,3049536068,1279217316899651586,1541585595675201536,1471470648858124288,1421666636898045959,1208402454,1027762252949073921,1475730077375950849,1436014850975559680,1166486091303546880,873173984837214208,122089486,1539075882408869888,1464370998862807043
992922444489834496,1484871572934463488,1270233355003428864,1191528964927279104,1223164381984223232,1541475345811095554,939790575254900736,728950640823697412,1541510425766170624,1541611512300597249,1541573883752775680,1510467870001872898,3104734406,1541560434322735104,1235407929487941637,1314907820169424896,826755725183565824,1509158468103864325,1194571522175721472,75531190,1540272726883336192,251542322,1426178157032341506,1478946832189657088,1474551355410984960,1340046743556091904,1510436399010693122,149386961,146609592,112041399
57250530,1528500566397435905,1426265079050383366,1493588360316993540,1424364100071481345,1504344980336578560,897321192964497408,70832524,9789342,925580103341326337,840128846074589185,1492442501093167104,100260626,1348886760927891457,823165615825305600,1541310583760248832,1505377082745913344,1541618577044025344,2539481036,1474327860391612416,1271950721290657792,107275500,1324643758470651906,235628182,1486141235559821312,91976342,1172689967153180673,142584468,1450926346025066497,1428616336406585344
1218469855516479488,3170733547,88803796,1311975694981713920,278751300,1540939869681512448,1535489222877929473,1203106261144764416,132038303,1501575995220172800,3102695834,1518416883565101056,1252200193342140418,305296870,921335143389900801,1210007528018337792,1540300385130549248,1252200193342140418,1539089330593218560,728950640823697412,1249944357735563270,1526073316473454593,991018718200123393,1278895740413071360,1540953216187510786,155761278,881049367628529665,990036679,1482859979724173313,1506268519297474560
1448168769721823242,4711371553,1511664163466379264,1541589075404390402,891693590786723841,598786193,1533310206414708736,1447045812224020480,1027509783044083712,1541603271806451712,1518789203467075584,1072418539716276224,911389233717297152,1342275200646180864,265119315,93776697,1540535920402632707,715098738755182592,1327440670852714496,332236964,1459420954141294593,1540472196375904256,1541593727994458112,1399333415820746752,1500692140816429057,443429310,1477578990223527937,384661459,395506329,879527448492126208
1507699304785649665,1541585595675201536,1400511271284396032,1009586389527064576,904093496939655168,269252379,902565780390166528,838743679032504320,82765476,270505136,1427456850161672208,3250700713,1186778472045137921,846748138471735297,1288426253305778177,291519923,1242033682908504064,1447468735539736576,1538537800609325058,14899581,731461097681608708,1455776547067944968,1439981081696997376,1527971321216630785,1535559911362695168,69309200,1255727635243560961,1533045957612699649,64899582,992922444489834496
1539576070613114881,1363880817554976769,1388457934095409161,1155470784153829376,728950640823697412,113236266,1358062185805582339,1235559237494796288,61477551,191684722,1003458546917208064,103171331,1070037210353754112,933108210789167104,2508688021,1540488468966801408,1504420197175685124,1541573883752775680,2421981878,1535489222877929473,1342729092152479746,1209303957203374080,1540749432932556805,1491403703533801476,1540882637761708032,904030397754773504,1539759167929741312,96469895,623230052,1541058347805184000
1539573868645552128,1541599747454439424,1238282440302399488,1092805779164483586,1529059354884075521,282455784,135673619,1535489222877929473,843831664358830080,459922867,1123551897514680321,1350571041454657536,1232172955808874498,95397847,55929505,235547896,1405342724031713282,1541255595398791168,3228913291,1437702830815539205,1109444096282624000,1259414644805926913,3088826719,1434425759427301377,1524864347066859521,1532007308737511424,1346656258053394434,190860378,2994234283,4711371553
1340717951482097665,819373370550591490,309278747,1480579887161577476,3241268425,1503190156098289673,1541532688238399488,460252703,1145668346932711429,1412410825,1497141984951418880,857011277922578432,1426178157032341506,522303959,3187649268,1009331060260286464,1053988514042277888,1541606241956675585,1355457023345782789,1332892446078816256,1339951697158840321,841098718010998784,1455118780128907268,2799985639,1540806001657450498,248872018,920980612512587778,954139733344468992,1499261767750647808,1539685636633788417
54525273,1493588360316993540,1146409598573633536,1491556746456104960,3033884904,1481548821977268228,1526823701806579712,136414215,1510149728482123779,1471346779119845376,991018718200123393,138250734,3104776474,1507592305532076036,489388496,128841660,1092073786461978625,1541606985485123584,1263068478551977990,128509377,1294213901802852358,1535482696579031040,1433769021665468416,1441876957105328128,1212065711759089665,3240319171,1530734194162540544,3240787723,1541400835498086400,4431016334
1251543111488045056,184981921,890822714381942784,1541295548149661696,1535489222877929473,785083242953060352,1511233561382494212,143434525,1522531557847621634,2336395266,1541593181946404865,1541510425766170624,1541600756557807616,980446351669452801,1451859584763588614,91599150,3270321372,361642982,301942139,2616709495,1171378915987742720,839735207217385473,337670859,1541327607937236992,1293002742772797441,302596782,3220149787,70603303,1383064591786151937,742251619966849025
42798143,1541593727994458112,1292502187155664896,1018702166188408832,1541266482889338881,926276117996232705,1968959215,1529027634138869760,4722195792,1434884661876908032,1263046339455102977,1461926956417667072,108814024,92671840,1539046468207915008,1432236427249549316,1333414557088288768,1390277961681498114,1309891458057424896,82269322,1249593443946336257,891493933519208453,1465301604622811136,1441983028272660482,1469791281736216576,856765477,1339333431465951234,1324730334332637184,1538739788370497536,1256012245789622272
1532871491955699712,1506951141610860546,879263163052470272,1381375121194053632,1528485293854437377,135735993,796038156030070784,135673619,2682040496,256889123,1541593727994458112,4299805466,1390277961681498114,1364498418299637762,1178601366165417985,1467672190774431747,1241552648605585408,4711371553,106778775,1529027634138869760,117715410,297810781,1234074170377400320,1507138045622964225,1500525230271332353,751765911904718850,133570105,52262251,1526875913220390912,1519889825972719617
1541540966028283905,520883766,1530750658311503872,1541560434322735104,1496076245951746048,1057115473,1497157914150436867,1538058971994796034,745872516896391168,569170211,1006345420614729729,747815835494846464,1541599747454439424,64449350,1250411806255808513,485373266,1519780196592795648,1518787583089979392,1358009539698831360,1500332053979492352,1512156991443341312,191684722,1531492545502793728,1541551040864358400,438642293,1422661622527520771,731314919317094400,61981613,1541228320993738752,900621223150764032
1257649763505209345,2175263028,1272839435806060544,1533310206414708736,1479661720721313796,1486815094306906112,1539709865915842561,1386506160681852928,1420669100628463617,1359652771243323395,2559008131,1112485368937369601,4711371553,1118140463523954688,277958953,909285585335881728,1540216723688853506,598786193,241323254,1479661720721313796,1532991343294676993,1387749068944728065,3191745570,1430756959796424706,1540063135801167872,115021412,1449091937118552065,1536319399661285377,1464682250,1541295548149661696
