"created_at","screen_name","text","favorites","retweets"
2022-06-27 02:05:09,"chutoislam","日本に篠田先生がいることの奇跡…キッシンジャーを見直したよ…昔から一貫してて柔軟で洞察が深い…有料記事だがお金ない人はキッシンジャーの『外交』を図書館で読めばいい。

キッシンジャーがダボスで語った新たなウクライナの「正統性」と欧州の「均衡」（下）：篠田英朗 https://t.co/ITYwOf6Smu",29,8
2022-06-26 06:43:11,"chutoislam","そこでエストニア中心主義とかフィンランド中心主義とかウクライナ中心主義とかが出てきたりそれらの一時的か恒久的な連合体ができたり離れたりする過程かと思う。何れにせよ不可避で不可逆的。なんであんなに一面的なロシア中心主義を受け売りしていたのか、後の世代には分からなくなるだろう。",129,21
2022-06-24 20:56:17,"chutoislam","侵攻から4カ月　ウクライナが迎えた正念場と、ロシアが見誤ったもの [ウクライナ情勢]：朝日新聞デジタル https://t.co/D2d2HFVtDB",46,20
2022-06-20 21:26:36,"chutoislam","Twitterで「専門家」と言われる人は、往往にしてテレビコメンテーターとか元〇〇といった属性でなんとなく専門家のふりしているだけで、専門家ではない。そういう人たちが一瞬駆逐されたのがロシア・ウクライナ戦争に伴って日本で起きた奇跡 https://t.co/KxJVGIGzIr",703,209
2022-06-27 00:24:37,"chutoislam","「プーチンにある程度『お土産』を渡し」続けて北方領土帰ってこないどころか「ゼロ島返還」を認めさせる寸前までいったことを考えると、確信犯なんじゃないですかね。

東郷和彦氏「世界は『ウクライナの正義』か『一刻も早い和平』かで揺れている https://t.co/v5G5rfSCkI #日刊ゲンダイDIGITAL",292,112
2022-06-20 06:40:03,"chutoislam","防衛研究所に一級の研究者が集まっている最近の傾向がロシア・ウクライナ戦争の分析で一般にも知られるようになりましたが、「軍事忌避」の傾向が一般に薄れてきたことだけでなく、終身雇用の安定した職（しかも公務員）に早くついて将来の見通しを立てて研究できる数少ないポストである事も一因。 https://t.co/fOjH9FBPCA",737,302
2022-06-27 00:22:21,"chutoislam","プーチンにお土産渡して停戦したら、ロシアの戦争犯罪追及はできない。騙されてはいけません。ロシアの占領下でウクライナ市民が戦争犯罪の罪を着せられて殺害・抑留され、数世代かけても汚名を拭えない可能性は極めて高い。 https://t.co/egl8tVdYEM",664,311
2022-06-26 08:31:42,"chutoislam","ウクライナ侵攻、兵力確保に苦悩するロシア #NewsPicks https://t.co/l5pDoL5J0G",23,10
2022-06-26 08:28:27,"chutoislam","ウクライナ消耗戦、欧州指導者は厳しい舵取りへ #NewsPicks https://t.co/EF9xhETm6D",20,7
2022-06-20 21:13:28,"chutoislam","なお専門家たちはプーチンがウクライナに軍を攻めませるまでは「戦争など起きない…戦争を煽っているのは専門家」と非難されていました。人間の愚かさに限りはありません。",635,210
2022-06-19 21:22:53,"chutoislam","ロシア・ウクライナ戦争では、どれだけメディアに出ても専門的な話をし続け、興味を惹き続ける一群の専門家がテレビに現れたことも「衝撃」だったと思います。シンクタンクや役所の研究会でやるような話を一般向けに少しアレンジしてテレビでやってくれているので、大変に教育効果があります。 https://t.co/AUQrfZBB8m",1807,415
2022-06-17 14:04:19,"chutoislam","【緊急対談第2弾】高橋杉雄×小泉悠 &lt;br /&gt;ウクライナ戦争100日の「天王山」（下） ：高橋杉雄,小泉悠 https://t.co/QaSu9MIV25",40,10
2022-06-20 06:26:02,"chutoislam","だから団塊サブカルに政治を語らせたらダメだって。以上。
要するに「ウクライナは緩衝国家に甘んじるべきだった」という極東の島国の老人が若い頃の反米感情・親露憧憬に先祖返りした繰言。 https://t.co/fAl2QzPjDT",672,307
2022-06-24 02:42:55,"bbcnewsjapan","BBCニュース - EU、ウクライナとモルドヴァを「加盟候補国」に承認　ゼレンスキー大統領は歓迎　https://t.co/4cA8i828G7",316,119
2022-06-23 09:06:00,"bbcnewsjapan","BBCニュース  - ウクライナ東部の親ロシア派、兵力の半分失う＝英国防省
https://t.co/NAQnHaft7r",214,79
2022-06-20 11:03:00,"bbcnewsjapan","BBCニュース -  ウクライナ議会、ロシアの一部の音楽と出版物を禁止する法案可決

https://t.co/Gk7mNLe3Am",100,49
2022-06-23 05:21:56,"bbcnewsjapan","BBCニュース - 【解説】 ウクライナがEU加盟候補国へ　何が変わる？ ロシアの反応は？　https://t.co/DzUA9KONub",76,33
2022-06-18 09:36:00,"bbcnewsjapan","BBCニュース -  イギリス、ウクライナに軍事訓練の提供を提案　ジョンソン首相がキーウ再訪

https://t.co/OxWsbEbeyg",460,119
2022-06-23 09:12:00,"bbcnewsjapan","BBCニュース  - 【解説】 ウクライナがEU加盟候補国へ　何が変わる？ ロシアの反応は？　https://t.co/DzUA9KOfED",94,56
2022-06-19 02:26:32,"bbcnewsjapan","BBCニュース - ゼレンスキー大統領、前線を視察　ウクライナ南部ミコライウとオデーサ

https://t.co/rC0jheztmT",205,49
2022-06-23 12:42:00,"bbcnewsjapan","BBCニュース -【解説】 ウクライナがEU加盟候補国へ　何が変わる？ ロシアの反応は？　https://t.co/DzUA9KwEg3",84,35
2022-06-27 01:47:58,"bbcnewsjapan","BBCニュース - ロシア、首都キーウなどウクライナ各地をミサイル攻撃　G7はウクライナ支援で結束　https://t.co/7lwz3tkNCo",34,21
2022-06-23 12:26:00,"bbcnewsjapan","BBCニュース -  ウクライナ東部の親ロシア派、兵力の半分失う＝英国防省
https://t.co/NAQnHaft7r",64,31
2022-06-20 09:19:00,"bbcnewsjapan","BBCニュース  - ウクライナでの戦争、「何年も続く可能性」　NATO事務総長が警告

https://t.co/bLDqpEyW6g",71,36
